Model,Feature_Set,Accuracy,Sensitivity,Specificity,Precision,F1_Score,ROC_AUC,CV_Mean,CV_Std,Train_Time
Logistic Regression_Original,Original,0.956140350877193,0.9047619047619048,0.9861111111111112,0.9743589743589743,0.9382716049382716,0.9781746031746031,0.9736263736263737,0.011206636293610508,0.0055370330810546875
Random Forest_Original,Original,0.9736842105263158,0.9285714285714286,1.0,1.0,0.962962962962963,0.9940476190476191,0.9670329670329672,0.03184917966195481,0.043647050857543945
SVM_Original,Original,0.956140350877193,0.9047619047619048,0.9861111111111112,0.9743589743589743,0.9382716049382716,0.996031746031746,0.9714285714285715,0.014906219743132446,0.0072290897369384766
K-Nearest Neighbors_Original,Original,0.956140350877193,0.9047619047619048,0.9861111111111112,0.9743589743589743,0.9382716049382716,0.9928902116402116,0.9692307692307693,0.021308482889742096,0.00017595291137695312
Decision Tree_Original,Original,0.9385964912280702,0.9047619047619048,0.9583333333333334,0.926829268292683,0.9156626506024096,0.9424603174603174,0.9384615384615385,0.0371682077478852,0.005669116973876953
Logistic Regression_PCA_90%,PCA_90%,0.9824561403508771,0.9523809523809523,1.0,1.0,0.975609756097561,0.9973544973544973,0.9714285714285715,0.014906219743132446,0.0010020732879638672
Random Forest_PCA_90%,PCA_90%,0.9385964912280702,0.8809523809523809,0.9722222222222222,0.9487179487179487,0.9135802469135802,0.9902447089947091,0.956043956043956,0.01838813245129835,0.12110519409179688
SVM_PCA_90%,PCA_90%,0.9736842105263158,0.9523809523809523,0.9861111111111112,0.975609756097561,0.963855421686747,0.9957010582010583,0.9670329670329672,0.018388132451298365,0.011651992797851562
K-Nearest Neighbors_PCA_90%,PCA_90%,0.9385964912280702,0.8571428571428571,0.9861111111111112,0.972972972972973,0.9113924050632912,0.9790013227513228,0.964835164835165,0.01890620937811566,0.00026917457580566406
Decision Tree_PCA_90%,PCA_90%,0.9122807017543859,0.8095238095238095,0.9722222222222222,0.9444444444444444,0.8717948717948718,0.9318783068783068,0.9076923076923077,0.014906219743132469,0.0014119148254394531
Logistic Regression_PCA_95%,PCA_95%,0.9736842105263158,0.9285714285714286,1.0,1.0,0.962962962962963,0.9973544973544973,0.9758241758241759,0.016150481820548422,0.0009448528289794922
Random Forest_PCA_95%,PCA_95%,0.9298245614035088,0.8809523809523809,0.9583333333333334,0.925,0.9024390243902439,0.9874338624338624,0.9516483516483516,0.028316700498296963,0.07393789291381836
SVM_PCA_95%,PCA_95%,0.956140350877193,0.9047619047619048,0.9861111111111112,0.9743589743589743,0.9382716049382716,0.996031746031746,0.9714285714285715,0.014906219743132446,0.00536799430847168
K-Nearest Neighbors_PCA_95%,PCA_95%,0.9473684210526315,0.8809523809523809,0.9861111111111112,0.9736842105263158,0.925,0.9953703703703703,0.9670329670329672,0.021978021978021966,0.0002830028533935547
Decision Tree_PCA_95%,PCA_95%,0.9122807017543859,0.7857142857142857,0.9861111111111112,0.9705882352941176,0.8684210526315789,0.9131944444444444,0.9054945054945055,0.013186813186813221,0.0020439624786376953
Logistic Regression_RFE,RFE,0.9736842105263158,0.9285714285714286,1.0,1.0,0.962962962962963,0.9973544973544973,0.9692307692307693,0.01615048182054841,0.004055976867675781
Random Forest_RFE,RFE,0.9736842105263158,0.9285714285714286,1.0,1.0,0.962962962962963,0.9950396825396826,0.9582417582417584,0.029812439486264906,0.04052615165710449
SVM_RFE,RFE,0.9824561403508771,0.9523809523809523,1.0,1.0,0.975609756097561,0.996031746031746,0.9692307692307693,0.01758241758241759,0.004490852355957031
K-Nearest Neighbors_RFE,RFE,0.9385964912280702,0.8333333333333334,1.0,1.0,0.9090909090909091,0.9821428571428571,0.9670329670329672,0.025058800551629384,0.00015687942504882812
Decision Tree_RFE,RFE,0.9122807017543859,0.8571428571428571,0.9444444444444444,0.9,0.8780487804878048,0.9097222222222221,0.9428571428571428,0.029812439486264917,0.004539012908935547
